,created_datetime,last_modified_datetime,product_name,generic_name,quantity,serving_size,nutrition_grade_fr,pnns_groups_1,pnns_groups_2,main_category_en,energy_100g,fat_100g,saturated-fat_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,omega-6-fat_100g,omega-9-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,starch_100g,fiber_100g,proteins_100g
241963,2015-03-28 13:09:33+00:00,2015-03-28 21:15:03+00:00,Framboise grenade light,Boisson gazéifiée au jus de fruits à base de concentrés saveur grenade framboise avec édulcorants,1 l,,b,Beverages,Artificially sweetened beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
242590,2015-07-30 14:09:10+00:00,2017-05-19 13:35:30+00:00,Sel Marin Ile de Noirmoutier fin naturel,Sel,250 g,,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
245188,2017-08-20 08:21:10+00:00,2017-08-20 08:40:49+00:00,Détente,Mélange de plantes bio et de fleurs bio pour infusion ,"36 g, 20 sachets de 1.8 g",,b,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
245481,2016-12-19 11:52:15+00:00,2017-07-15 05:38:24+00:00,Œufs de Truite Bio,Œufs de truite issus de l'agriculture biologique pasteurisés,80 g,,c,Fish Meat Eggs,Fish and seafood,Seafood,0.0,,0.0,,,,,,,,,0.0,,0.0,0.0
248547,2013-11-16 20:36:22+00:00,2017-05-29 14:09:04+00:00,Montcalm,Eau minérale naturelle,1.5 l,un verre 20cl,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
249282,2016-06-07 17:52:39+00:00,2017-02-16 11:59:55+00:00,Sel de Guérande,Sel marin gris de table,250 g,,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
249284,2015-03-15 07:13:12+00:00,2017-07-27 10:17:31+00:00,Sel de Guérande,Sel marin moulu récolté à la main,250 g,,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
249286,2016-12-13 20:46:21+00:00,2017-07-09 19:41:13+00:00,Gros Sel de Guérande,Gros sel marin de Guérande,5 kg,,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
249290,2015-09-19 20:10:26+00:00,2017-06-19 07:49:54+00:00,Sel de Guérande Label Rouge,Sel marin moulu,125 g,,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
249296,2016-05-14 19:14:21+00:00,2017-05-09 17:52:19+00:00,Sel de Guérande au piment d'Espelette,Préparation à base de sel marin gris de table et de piment d'Espelette,90 g,,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
249336,2014-02-16 13:41:52+00:00,2017-07-16 10:28:10+00:00,Eau minérale Wattwiller,Eau minérale naturelle des ballons des Vosges,"1,5 l",,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
249338,2015-02-18 09:18:10+00:00,2017-05-01 00:46:12+00:00,Wattwiller 50Cl,eau,50cl,,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
249339,2014-02-25 08:30:35+00:00,2017-01-25 12:49:27+00:00,Eau minérale Wattwiller,Eau minérale naturelle ,1 Litre,,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
251162,2017-03-13 12:10:35+00:00,2017-08-28 11:35:03+00:00,Spiruline,Complément alimentaire à la spiruline,120 g,3 g,a,Fish Meat Eggs,Fish and seafood,Plant-based foods and beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,66.6
252571,2014-06-05 12:42:30+00:00,2017-05-31 13:16:16+00:00,Pepsi Max Cherry* (*saveur cerise) - (0 % sucres),Boisson gazeuse rafraîchissante aromatisée à la cerise avec édulcorants,"1,5 L",Un verre = 250 ml (Cette bouteille contient 6 verres de 250 ml),b,Beverages,Artificially sweetened beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
252609,2016-05-03 12:30:14+00:00,2017-08-02 18:14:43+00:00,7up saveur mojito free,7up mojito light,"1,5L",250 ml,b,Beverages,Artificially sweetened beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
253495,2016-06-09 12:27:47+00:00,2017-06-11 20:04:21+00:00,Sauce Piquante,Hot sauce,85 ml,,c,Fat and sauces,Dressings and sauces,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
254369,2013-04-30 07:36:13+00:00,2017-06-21 19:54:21+00:00,Eau de Source Naturelle,Eau de source naturelle,50 cl,,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
255445,2012-06-29 15:23:57+00:00,2015-01-20 18:26:51+00:00,Cola Light Carrefour Discount,Boisson rafraîchissante aux extraits végétaux,"1,5 l",,b,Beverages,Artificially sweetened beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
255447,2012-06-29 16:27:41+00:00,2015-01-20 01:30:23+00:00,Cola Zéro Carrefour,Boisson rafraîchissante aux extraits végétaux et édulcorants,"1,5 l",,b,Beverages,Artificially sweetened beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
255738,2014-04-22 11:51:30+00:00,2017-06-28 02:47:35+00:00,Eau minérale naturelle naturellement gazeuse,Eau minérale naturelle naturellement gazeuse,50 cl,1 Litre,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
256352,2015-04-10 08:31:41+00:00,2015-12-12 16:17:46+00:00,Édulcorant extrait de stevia ,Édulcorant de table à base de glycosides de stéviol,40 g,1 g,b,unknown,unknown,Plant-based foods and beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
259015,2016-09-25 17:29:58+00:00,2017-06-27 17:08:02+00:00,Vinaigre de vin,Vinaigre de vin,75cl,,b,Fat and sauces,Dressings and sauces,Vinegars,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
259593,2013-02-21 17:08:07+00:00,2017-06-21 09:23:31+00:00,Eau de Source de Montagne,Eau de source de montagne source Laqueuille,1.5L,,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
259608,2012-10-06 12:10:32+00:00,2017-06-02 17:38:30+00:00,Vinaigre Balsamique de Modène,vinaigre balsamique,50 cl,,b,Fat and sauces,Dressings and sauces,Vinegars,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
260612,2016-05-30 20:56:42+00:00,2017-05-29 19:55:28+00:00,Eau Minérale Naturelle Gazéifiée saveur Citron Vert,Eau minérale naturelle gazéifiée,1 l,20 cl,a,Beverages,Non-sugared beverages,Beverages,0.0,0.05,0.05,,,,,,,,0.1,0.1,,0.0,0.1
260884,2016-10-16 13:40:33+00:00,2017-05-10 16:51:34+00:00,Edulcorel Edulcorant en poudre à la base d'extrait de stévia,Edulcorant de table en poudre à base de glycosides de stéviol,250 g,"2,5 g",b,unknown,unknown,Sweeteners,0.0,0.0,0.0,,,,,,,,99.3,0.0,,0.0,0.0
262131,2014-08-31 11:15:22+00:00,2017-03-17 19:30:26+00:00,Sel Fin de l'Île de Ré,Sel marin gris alimentaire,250 g e,,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
264427,2013-07-26 17:43:20+00:00,2017-08-27 11:34:04+00:00,Moulin mélange 5 baies,Moulin mélange 5 baies,28 g,,b,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
265072,2015-04-09 19:22:28+00:00,2017-07-09 20:23:33+00:00,Planet Cola Zéro,Boisson gazéifiée à l'arôme naturel aux édulcorants,"1,5 l",20 cl,b,Beverages,Sweetened beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.5,0.0,,0.0,0.0
268741,2013-04-25 11:35:25+00:00,2017-08-20 17:14:06+00:00,"Edulcorant de table, à base d'aspartame",Edulcorant de table à base d'aspartame,"29,25 g (650 comprimés)",,b,unknown,unknown,Sweeteners,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
270037,2013-09-08 09:57:27+00:00,2017-08-23 16:55:30+00:00,Agua mineral natural,Agua mineral natural procedente del manantial Las Jaras,"1,5 l",1000 ml,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
270042,2013-06-23 18:42:05+00:00,2013-06-24 22:19:47+00:00,Nestlé Pureza Vital Sem Gás,Água Mineral Natural,510ml,,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
273623,2017-09-08 09:30:25+00:00,2017-09-08 09:44:30+00:00,Yaourts de Normandie à l'ananas,Yaourts au lait entier à l'ananas,4 x 125 g (500 g),,b,Milk and dairy products,Milk and yogurt,Dairies,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
274404,2016-10-19 18:13:38+00:00,2017-06-03 19:43:47+00:00,Edulcorant poudre cristal,Edulcorant de table à base de sucralose,200g,0.5g (une cuillère à café rase),c,unknown,unknown,Sweeteners,0.0,0.0,0.0,,,,,,,,97.5,30.0,,,0.0
276597,2015-02-18 09:53:06+00:00,2017-08-14 07:51:36+00:00,Les authentiques sucrettes,Edulcorant de table à base de saccharine,21g,,b,unknown,unknown,Sweeteners,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
280125,2016-03-23 12:00:43+00:00,2016-03-23 12:10:45+00:00,Jodsalz + Fluorid,Jodiertes Speisesalz mit Zusatz von Fluorid,500 g,,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
280126,2015-07-19 09:27:34+00:00,2017-05-27 18:36:33+00:00,Marken JodSalz + Fluorid + Folsäure,Jodiertes Speisesalz mit Zusatz von Fluorid und Folsäure,500 g,2 g,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
280128,2016-06-01 14:39:03+00:00,2016-06-01 21:21:36+00:00,Meersalz mit Jod,Jodiertes Speisesalz,500 g,2 g,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
281193,2015-11-23 11:32:44+00:00,2015-11-23 11:35:25+00:00,Sonnensalz Jodsalz,Jodiertes Speisesalz,500 g,2 g,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
283138,2016-05-25 16:59:38+00:00,2016-12-22 11:15:49+00:00,Jodsalz mit Fluorid,Jodiertes Speisesalz mit Fluorid,500 g,2 g,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
286693,2015-02-19 22:56:55+00:00,2015-02-20 14:32:46+00:00,V Water Shield,Vitamin Water with Zinc and Echinacea,500 mL,500 mL,b,Beverages,Artificially sweetened beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.2,0.0,,0.0,0.0
287298,2015-09-27 18:48:55+00:00,2017-02-07 17:54:41+00:00,Sucolin,Süßungsmittel Erythritol,500 g,,b,unknown,unknown,Sussungsmittel,0.0,0.0,0.0,,,,,,,,100.0,0.0,,,0.0
287649,2017-01-27 15:43:36+00:00,2017-01-31 14:26:14+00:00,Gemüse Bouillon,"Bio Gemüsebrühwürfel mit 7,8% Gemüse",66 g,,c,Fat and sauces,Dressings and sauces,Groceries,0.0,0.5,0.2,,,,,,,,0.5,0.5,,0.5,0.5
287650,2016-12-30 16:39:55+00:00,2017-06-22 19:53:18+00:00,Meersalz mit Jod,Jodiertes Meersalz,500g,,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
288395,2015-10-09 16:28:07+00:00,2017-07-09 19:31:20+00:00,Cola Zero,Zuckerfreies kalorienarmes koffeinhaltiges Erfrischungsgetränk mit Süßungsmitteln,"1,5 l",250 ml,b,Beverages,Sweetened beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
289656,2014-12-30 08:44:43+00:00,2017-07-09 19:30:55+00:00,Natürliches Mineralwasser,natürliches Mineralwasser mit Kohlensäure versetzt,1 l,0.2 l,b,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
289701,2015-07-11 20:13:06+00:00,2016-12-22 11:16:35+00:00,Jodsalz + Flourid,Jodsalz,500 g,,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
291233,2016-12-22 11:08:39+00:00,2017-01-21 16:07:17+00:00,Jodsalz mit Fluorid und Folsäure,Jodiertes Speisesalz mit Zusatz von Fluorid und Folsäure,500g,2g,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
291444,2017-06-05 12:58:50+00:00,2017-07-09 19:31:11+00:00,Aqua Mia Classic,Natürliches Mineralwasser,1 l,,b,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
293198,2015-03-15 10:09:31+00:00,2015-03-15 10:18:37+00:00,Royal Tea Garden Kyoto Camellia Green Tea,Green Tea,580 ml,,b,unknown,unknown,,0.0,0.0,0.0,,,,,,,,0.2,0.0,,,0.0
293971,2015-11-29 16:54:52+00:00,2015-12-01 19:48:03+00:00,Green tea Lemon,Boisson de thé vert aromatisé au citron,400 ml,,b,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
294705,2013-04-25 11:38:12+00:00,2017-08-02 16:12:14+00:00,Coca-Cola light,Boisson rafraîchissante aux extraits végétaux,50 cl,250 ml (1 verre),b,Beverages,Artificially sweetened beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
294733,2013-11-06 19:02:34+00:00,2017-09-05 09:59:10+00:00,CocaCola Zero,"Boisson rafraîchissante aux extraits végétaux, avec édulcorants. ",1.75 L e (7 * 250 ml),250 ml,b,Beverages,Sweetened beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
294742,2015-05-31 21:55:27+00:00,2017-09-03 21:25:13+00:00,Coca-Cola Zero,"Boisson rafraîchissante aux extraits végétaux, avec édulcorants","1,5 L",250 ml,b,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
294755,2016-04-14 10:26:59+00:00,2017-09-17 19:21:29+00:00,Cocca colllllart,PROBLEME CODE-BARRES A RESOUDRE,"1,75L",,b,Beverages,Sweetened beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
294875,2015-02-28 19:29:12+00:00,2015-03-01 17:16:51+00:00,soda water,carbonated soda water,1l,250ml,b,unknown,unknown,Carbonated-soda-water,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
297157,2015-02-28 13:16:55+00:00,2017-08-28 10:47:59+00:00,L'Original,Sel pauvre en sodium,350 g,,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
304027,2017-07-03 20:34:24+00:00,2017-07-03 20:38:37+00:00,Cola Zero,Cola Zéro,"1,5l",250 ml,b,Beverages,Artificially sweetened beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
304777,2014-04-27 09:46:21+00:00,2017-02-14 12:18:36+00:00,Spa reine,natural mineral water,1l,1l,b,Beverages,Non-sugared beverages,Beverages,0.0,,0.0,,,,,,,,,0.0,,0.0,0.0
304804,2016-07-11 17:16:53+00:00,2016-07-11 17:31:07+00:00,Touch of lemon,Gearomatiseerde drank met Spa water,1 L,,b,unknown,unknown,nl:Boissons,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
304820,2015-06-10 17:20:02+00:00,2017-09-14 11:41:29+00:00,BRU,Sparkling Water,1.25 l,,b,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
306241,2014-05-26 11:05:35+00:00,2017-05-06 13:03:03+00:00,Valvert,eau minérale naturelle,"1,5L",,b,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
308359,2012-06-19 10:17:06+00:00,2017-03-31 18:43:01+00:00,Coca Cola light,Boisson gazeuse sucrée,"1,5 l",250ml,b,Beverages,Artificially sweetened beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
308440,2017-02-14 12:09:43+00:00,2017-09-14 11:43:30+00:00,Chaudfonatine,Sparkling Water,1 lt,,b,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
308462,2012-06-18 11:01:07+00:00,2017-08-11 13:51:27+00:00,Coca Cola Zero,"Boisson rafraîchissante aux extraits végétaux, avec édulcorants",330 ml,33 cl,b,Beverages,Sweetened beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
308468,2013-02-11 13:35:34+00:00,2017-07-24 15:26:16+00:00,Coca Cola Zero,Boisson au cola gazéifiée sans sucre ,1.5 l,1 ml,b,Beverages,Artificially sweetened beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
315165,2016-04-21 01:05:52+00:00,2016-10-19 15:05:37+00:00,Sal Liquida Natural,Sal Liquida,90 ml,0.15 ml,b,unknown,unknown,es:Sal-li,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
315166,2016-04-21 01:17:10+00:00,2016-10-19 15:03:13+00:00,Sal Liquida Habanero,Sal Liquida,90 ml,0.15 ml,b,unknown,unknown,es:Diabeticos,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
315167,2016-04-21 01:36:12+00:00,2016-10-19 20:18:50+00:00,Sal Liquida Citrus,Sal Líquida,90 ml,0.15 ml,b,unknown,unknown,es:Baja-en-sodio,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
315169,2016-04-21 01:56:23+00:00,2017-07-09 19:31:52+00:00,Sal Liquida Xcambo Vainilla,Sal Liquida con Vainilla,90 ml,0.15 ml,b,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
315170,2016-04-21 01:43:55+00:00,2017-07-09 19:31:51+00:00,Sal Liquida Cacao,Sal Liquida,90 ml,0.15 ml,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
315271,2015-07-08 17:20:48+00:00,2017-07-09 19:31:00+00:00,Agua purificada Ciel,Purified water,600 ml,240 ml,b,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
315305,2017-09-10 19:33:18+00:00,2017-09-10 20:22:45+00:00,Agua mineral de Manantial Peñafiel,Agua mineral Peñafiel,2 l,240 ml,a,Beverages,Sweetened beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
315309,2017-02-22 05:02:47+00:00,2017-02-22 05:30:52+00:00,Agua embotellada sin sodio,agua embotellada,600 ml,240 ml,b,unknown,unknown,Agua,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
321391,2012-06-10 07:44:16+00:00,2017-06-18 17:52:53+00:00,Quézac,Eau minérale naturelle avec adjonction de gaz carbonique,"1,15L",1 Litre,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
321506,2013-02-06 13:22:13+00:00,2017-06-13 19:46:05+00:00,Perrier Agrumes,Eau gazeuse aromatisée,1l,250 ml,b,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
322308,2015-02-21 19:50:24+00:00,2017-04-26 17:12:23+00:00,Hépar,Eau minérale naturelle,1 l,1 l,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
323009,2017-04-08 16:57:45+00:00,2017-09-05 21:34:55+00:00,Eau Minérale,Eau minérale naturelle,1.5 l,,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
332112,2016-06-14 10:07:50+00:00,2016-06-15 19:25:26+00:00,Acqua Minerale Naturale Frizzante,Eau gazeuse,0.5 l,50cl,b,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
333186,2012-02-11 20:46:21+00:00,2017-08-25 07:10:45+00:00,Eau minérale gazeuse,Eau minérale gazeuse,1 L,1 l,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
333188,2013-01-29 09:59:21+00:00,2017-08-15 11:31:48+00:00,San Pellegrino,Eau minérale gazeuse,50 cl,1 litre,a,Beverages,Non-sugared beverages,Beverages,0.0,5.2,0.0,,,,,,,,3.36,0.0,,0.0,0.0
333193,2013-02-19 19:41:55+00:00,2017-02-22 09:23:48+00:00,San Pellegrino,Eau minérale,1 l,,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
333204,2013-09-25 12:13:47+00:00,2017-05-23 10:55:38+00:00,San Pellegrino,Eau minérale gazeuse,50 cl,1l,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
335016,2015-02-04 12:08:17+00:00,2017-08-19 15:09:41+00:00,Acqua frizzante,Acqua frizzante,500 ml,,b,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
336413,2016-05-09 19:28:34+00:00,2016-05-21 19:20:47+00:00,Courmayeur,Eau minérale naturelle,"6 * 1,5 l",,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
349917,2016-07-12 08:50:13+00:00,2016-07-28 06:49:42+00:00,Basic Zout,zout,500 g,2 g,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
349952,2015-11-29 15:32:30+00:00,2015-11-30 10:09:24+00:00,Concentré Saveur Pomme Cranberry Zéro,"Préparation aromatisée pour boissons rafraîchissantes gazéifiées, avec édulcorants",500 ml,,b,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
350008,2016-11-05 08:28:25+00:00,2017-02-06 12:45:59+00:00,Weer & wind thee,Kruidenthee melange,"30 g, 15 x 2g",,b,unknown,unknown,,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
350050,2015-05-30 12:27:55+00:00,2015-05-31 08:31:27+00:00,Soda Mix Concentré Cola sans sucres,"Préparation aromatisée pour boissons rafraîchissantes gazéifiées, avec édulcorants",500 ml,,b,Beverages,Artificially sweetened beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
350905,2017-08-21 05:41:41+00:00,2017-08-21 05:46:38+00:00,씨그램,씨그램 탄산수,350ml,,b,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
351431,2014-08-31 12:09:49+00:00,2014-09-01 19:23:04+00:00,Ginger from Fresh Rhizomes,Ginger,200g,15g,b,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
352693,2014-03-04 15:13:01+00:00,2017-03-26 12:48:08+00:00,Bad Ischler Kristallsalz fein und jodiert,Bad Ischler Kristallsalz fein und jodiert,500g,,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
353431,2016-12-11 15:23:39+00:00,2017-04-21 11:20:39+00:00,Oxygizer,Eau de boisson enrichie en oxygène.,500 ml,,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
355651,2017-04-17 11:17:21+00:00,2017-05-17 06:18:36+00:00,Jabal Akhdar Pure Natural Water,Water,500ml,,b,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
